| Hits | Gross [ms] | Net [ms] | Gross % | Net % | Statement/Event | Program Called | Calling Program |
| ---: | ---: | ---: | ---: | ---: | --- | --- | --- |
| 1 | 264.406.088 | 0 | 100 | 0 | Runtime analysis | SAPLS_ABAP_TRACE_DATA | SAPLS_ABAP_TRACE_DATA |
| 1 | 264.406.004 | 12.257 | 100 | <0,01 | Call Transaction ZABAPGIT | SAPLS_ABAP_TRACE_DATA | SAPLS_ABAP_TRACE_DATA |
| 1 | 264.393.747 | 2.390 | 100 | <0,01 | Program ZABAPGIT | SAPLS_ABAP_TRACE_DATA | SAPLS_ABAP_TRACE_DATA |
| 1 | 264.362.193 | 122 | 99,98 | <0,01 | Dynpro Entry PROCESS DARK | SAPMSSY0 | SAPMSSY0 |
| 4 | 264.361.945 | 36 | 99,98 | <0,01 | System Event process SELECTION-SCREEN | ZABAPGIT | ZABAPGIT |
| 2 | 264.361.840 | 28 | 99,98 | <0,01 | PAI Dynpro 1000 | SAPMSSY0 | SAPMSSY0 |
| 1 | 264.361.541 | 3 | 99,98 | <0,01 | Perform RUN | ZABAPGIT | ZABAPGIT |
| 1 | 264.361.538 | 11 | 99,98 | <0,01 | Try | ZABAPGIT | ZABAPGIT |
| 1 | 264.343.906 | 57 | 99,98 | <0,01 | Perform OPEN_GUI | ZABAPGIT | ZABAPGIT |
| 2 | 264.132.239 | 35 | 99,9 | <0,01 | Call M. {O:66*ZCL_ABAPGIT_GUI}->HANDLE_ACTION | ZCL_ABAPGIT_GUI===============CP | ZCL_ABAPGIT_GUI===============CP |
| 2 | 263.766.993 | 22 | 99,76 | <0,01 | Try | ZCL_ABAPGIT_GUI===============CP | ZCL_ABAPGIT_GUI===============CP |
| 1 | 263.507.632 | 2.073 | 99,66 | <0,01 | Call Screen 1001 | ZABAPGIT | ZABAPGIT |
| 4 | 263.492.406 | 1.314 | 99,65 | <0,01 | Dynpro Entry receive data from SAPGUI | ZABAPGIT | ZABAPGIT |
| 5 | 263.470.653 | 298 | 99,65 | <0,01 | PAI Dynpro 1001 | ZABAPGIT | ZABAPGIT |
| 1 | 263.415.682 | 13 | 99,63 | <0,01 | Module PAI %_CTL_END S | ZABAPGIT | ZABAPGIT |
| 1 | 263.415.669 | 14 | 99,63 | <0,01 | PERFORM (ext) %_CTL_END S | ZABAPGIT | ZABAPGIT |
| 1 | 263.415.652 | 30 | 99,63 | <0,01 | PERFORM (ext) CONTROL_END | SAPMSSYD | SAPMSSYD |
| 1 | 263.415.562 | 7 | 99,63 | <0,01 | PERFORM (ext) CONTROL_END | SAPFGUICNTL | SAPFGUICNTL |
| 1 | 263.415.555 | 118 | 99,63 | <0,01 | Call M. CL_GUI_CFW=>DISPATCH | SAPFGUICNTL_CFW | SAPFGUICNTL_CFW |
| 1 | 263.415.067 | 59 | 99,63 | <0,01 | Call M. {O:86*CL_GUI_HTML_VIEWER}->DISPATCH | CL_GUI_CFW====================CP | CL_GUI_CFW====================CP |
| 1 | 263.366.390 | 22 | 99,61 | <0,01 | Raise E. CL_GUI_HTML_VIEWER | CL_GUI_HTML_VIEWER============CP | CL_GUI_HTML_VIEWER============CP |
| 1 | 263.366.368 | 41 | 99,61 | <0,01 | Call M. {O:85*ZCL_ABAPGIT_HTML_VIEWER_GUI}->ON_EVENT | CL_GUI_HTML_VIEWER============CP | CL_GUI_HTML_VIEWER============CP |
| 1 | 263.366.327 | 25 | 99,61 | <0,01 | Raise E. ZCL_ABAPGIT_HTML_VIEWER_GUI | ZCL_ABAPGIT_HTML_VIEWER_GUI===CP | ZCL_ABAPGIT_HTML_VIEWER_GUI===CP |
| 1 | 263.366.302 | 38 | 99,61 | <0,01 | Call M. {O:66*ZCL_ABAPGIT_GUI}->ON_EVENT | ZCL_ABAPGIT_HTML_VIEWER_GUI===CP | ZCL_ABAPGIT_HTML_VIEWER_GUI===CP |
